Generation;Best Distance;Best Fitness;Average Fitness
0;20324.94245160037;4.9200631312058684e-05;3.977128230956303e-05
1;20324.94245160037;4.9200631312058684e-05;4.1476163963754304e-05
2;20324.94245160037;4.9200631312058684e-05;4.272440759260646e-05
3;20324.94245160037;4.9200631312058684e-05;4.368816056996387e-05
4;19839.15716125997;5.040536711673949e-05;4.51728837962149e-05
5;19839.15716125997;5.040536711673949e-05;4.5772150450792004e-05
6;18100.545335324605;5.524695424774983e-05;4.654121982211042e-05
7;18100.545335324605;5.524695424774983e-05;4.71877919173194e-05
8;18100.545335324605;5.524695424774983e-05;4.783281329021783e-05
9;18100.545335324605;5.524695424774983e-05;4.878516658319798e-05
10;18100.545335324605;5.524695424774983e-05;4.937807822301478e-05
11;17377.09649870902;5.7547013108564605e-05;5.0182411295209494e-05
12;17377.09649870902;5.7547013108564605e-05;5.0879203958160716e-05
13;17377.09649870902;5.7547013108564605e-05;5.149415964681097e-05
14;17377.09649870902;5.7547013108564605e-05;5.2248979042119496e-05
15;17162.223349725165;5.826750879663933e-05;5.262568512074777e-05
16;16698.911750552485;5.988414184935823e-05;5.342630264054582e-05
17;16698.911750552485;5.988414184935823e-05;5.426872023413952e-05
18;16698.911750552485;5.988414184935823e-05;5.4284281265903116e-05
19;16698.911750552485;5.988414184935823e-05;5.4619187434246096e-05
20;16616.45073408288;6.018132367755572e-05;5.530864283374761e-05
21;16186.813940293285;6.177868008420941e-05;5.5697008402999514e-05
22;16186.813940293285;6.177868008420941e-05;5.592054331338797e-05
23;16186.813940293285;6.177868008420941e-05;5.6220529865100174e-05
24;16092.014669515525;6.214262294294232e-05;5.671445792559837e-05
25;16092.014669515525;6.214262294294232e-05;5.708495737852861e-05
26;15925.99491628176;6.27904256692724e-05;5.781649976465302e-05
27;15925.99491628176;6.27904256692724e-05;5.812042034376878e-05
28;15925.99491628176;6.27904256692724e-05;5.821118259100843e-05
29;15925.99491628176;6.27904256692724e-05;5.8936293606373913e-05
30;15562.505115400845;6.42570069911423e-05;5.883094591086714e-05
31;14083.853852610382;7.100329288170328e-05;5.952310501303716e-05
32;14083.853852610382;7.100329288170328e-05;6.070011384516418e-05
33;14083.853852610382;7.100329288170328e-05;6.068983626956802e-05
34;14083.853852610382;7.100329288170328e-05;6.128000518868371e-05
35;14083.853852610382;7.100329288170328e-05;6.2090416126158e-05
36;14006.276138144205;7.13965646640819e-05;6.251808656824027e-05
37;13744.53027517896;7.275621501637528e-05;6.361591976097546e-05
38;13744.53027517896;7.275621501637528e-05;6.42074784642412e-05
39;13744.53027517896;7.275621501637528e-05;6.461598052741168e-05
40;13744.53027517896;7.275621501637528e-05;6.530329602128997e-05
41;13744.53027517896;7.275621501637528e-05;6.557705458860894e-05
42;13744.53027517896;7.275621501637528e-05;6.628655218556444e-05
43;13744.53027517896;7.275621501637528e-05;6.660509100652533e-05
44;13744.53027517896;7.275621501637528e-05;6.765021683777533e-05
45;13744.53027517896;7.275621501637528e-05;6.785759708216977e-05
46;13744.53027517896;7.275621501637528e-05;6.792055148193905e-05
47;13624.463639657304;7.339738476671167e-05;6.819091714654715e-05
48;13328.271803750744;7.502848191605662e-05;6.891235035103518e-05
49;13328.271803750744;7.502848191605662e-05;6.908611250527748e-05
50;13328.271803750744;7.502848191605662e-05;6.920125169151636e-05
51;13328.271803750744;7.502848191605662e-05;6.933721666033322e-05
52;12691.909698295918;7.87903494250566e-05;6.957335865958857e-05
53;12691.909698295918;7.87903494250566e-05;6.943847922522081e-05
54;12691.909698295918;7.87903494250566e-05;7.020818401467931e-05
55;12691.909698295918;7.87903494250566e-05;7.082549013300097e-05
56;12691.909698295918;7.87903494250566e-05;7.11489731512304e-05
57;12691.909698295918;7.87903494250566e-05;7.145299839225778e-05
58;12691.909698295918;7.87903494250566e-05;7.18633714331874e-05
59;12478.461581962865;8.01380838039732e-05;7.23667745122657e-05
60;12478.461581962865;8.01380838039732e-05;7.19910208551143e-05
61;12478.461581962865;8.01380838039732e-05;7.303455700590878e-05
62;12478.461581962865;8.01380838039732e-05;7.345699508088193e-05
63;12319.285546785302;8.117353853048307e-05;7.384201479104494e-05
64;12319.285546785302;8.117353853048307e-05;7.417857017620438e-05
65;11991.03932471753;8.339560674600295e-05;7.504243435815236e-05
66;11991.03932471753;8.339560674600295e-05;7.599548213607079e-05
67;11991.03932471753;8.339560674600295e-05;7.625786130038853e-05
68;11991.03932471753;8.339560674600295e-05;7.634756334614109e-05
69;11991.03932471753;8.339560674600295e-05;7.684936589568947e-05
70;11991.03932471753;8.339560674600295e-05;7.718780705534487e-05
71;11614.728535394086;8.609757834224493e-05;7.709355728370268e-05
72;11614.728535394086;8.609757834224493e-05;7.808459073408859e-05
73;11614.728535394086;8.609757834224493e-05;7.815154243909457e-05
74;11614.728535394086;8.609757834224493e-05;7.884950669026185e-05
75;11614.728535394086;8.609757834224493e-05;7.875365156720723e-05
76;11614.728535394086;8.609757834224493e-05;7.92741104951604e-05
77;11614.728535394086;8.609757834224493e-05;7.888830066735315e-05
78;11614.728535394086;8.609757834224493e-05;8.01990186870406e-05
79;11371.33002818977;8.794046057242017e-05;8.007868650431633e-05
80;11371.33002818977;8.794046057242017e-05;8.029200117987874e-05
81;11371.33002818977;8.794046057242017e-05;8.090735781198156e-05
82;11343.099764997474;8.81593233523167e-05;8.10857978556921e-05
83;11254.233096292928;8.885545478255587e-05;8.196521407770633e-05
84;11254.233096292928;8.885545478255587e-05;8.177380517000676e-05
85;11022.866017885295;9.072050756830727e-05;8.190687679119108e-05
86;11022.866017885295;9.072050756830727e-05;8.247248934268564e-05
87;11022.866017885295;9.072050756830727e-05;8.290911095267474e-05
88;11022.866017885295;9.072050756830727e-05;8.363113140584691e-05
89;10562.150047957464;9.467769303214761e-05;8.375343105857648e-05
90;10562.150047957464;9.467769303214761e-05;8.436567164725197e-05
91;10562.150047957464;9.467769303214761e-05;8.421136978220855e-05
92;10506.056677871708;9.518319105456964e-05;8.49548342291753e-05
93;10506.056677871708;9.518319105456964e-05;8.550732260851701e-05
94;10504.676949973224;9.519569281019623e-05;8.603742347730345e-05
95;10504.676949973224;9.519569281019623e-05;8.681018299534361e-05
96;10441.115398744818;9.577520808937858e-05;8.77101257246324e-05
97;10387.32650753685;9.627116267832907e-05;8.760462103650392e-05
98;10350.342896366159;9.661515661969848e-05;8.823041406347536e-05
99;10327.082911991482;9.683276570180643e-05;8.868460040050596e-05
100;10327.082911991482;9.683276570180643e-05;8.948045336896938e-05
101;10327.082911991482;9.683276570180643e-05;9.014730610896557e-05
102;9969.464203602567;0.00010030629325482105;9.09793541423102e-05
103;9969.464203602567;0.00010030629325482105;9.119424808208632e-05
104;9969.464203602567;0.00010030629325482105;9.19411535768157e-05
105;9969.464203602567;0.00010030629325482105;9.244069850833717e-05
106;9969.464203602567;0.00010030629325482105;9.304620299874504e-05
107;9969.464203602567;0.00010030629325482105;9.325295799581513e-05
108;9939.190900141439;0.00010061181136844546;9.343582457838127e-05
109;9939.190900141439;0.00010061181136844546;9.333778842027998e-05
110;9939.190900141439;0.00010061181136844546;9.380488429518036e-05
111;9905.097106470277;0.00010095812178830362;9.353666865236918e-05
112;9905.097106470277;0.00010095812178830362;9.392129532633844e-05
113;9682.29543451458;0.00010328129385881879;9.451945589279015e-05
114;9682.29543451458;0.00010328129385881879;9.515414207003323e-05
115;9682.29543451458;0.00010328129385881879;9.493232005724486e-05
116;9682.29543451458;0.00010328129385881879;9.465095071883746e-05
117;9682.29543451458;0.00010328129385881879;9.54219369512579e-05
118;9682.29543451458;0.00010328129385881879;9.502674149745015e-05
119;9682.29543451458;0.00010328129385881879;9.53098990790674e-05
120;9682.29543451458;0.00010328129385881879;9.476036218112828e-05
121;9682.29543451458;0.00010328129385881879;9.515483759971176e-05
122;9682.29543451458;0.00010328129385881879;9.59489028684316e-05
123;9682.29543451458;0.00010328129385881879;9.621008942307268e-05
124;9682.29543451458;0.00010328129385881879;9.659027891792593e-05
125;9682.29543451458;0.00010328129385881879;9.681094832413975e-05
126;9504.528229918347;0.00010521300750648524;9.734262886804958e-05
127;9381.770747718227;0.00010658968620003995;9.710362406653881e-05
128;9381.770747718227;0.00010658968620003995;9.769504109636274e-05
129;9381.770747718227;0.00010658968620003995;9.790169685800355e-05
130;9381.770747718227;0.00010658968620003995;9.750764153846165e-05
131;9381.770747718227;0.00010658968620003995;9.900451039806477e-05
132;9381.770747718227;0.00010658968620003995;9.917633685625852e-05
133;9372.055294572487;0.00010670018139768303;9.897729645817697e-05
134;9372.055294572487;0.00010670018139768303;9.946937138647647e-05
135;9089.933944753922;0.00011001180053427456;0.00010113790837528586
136;9089.933944753922;0.00011001180053427456;0.00010023671016861033
137;9089.933944753922;0.00011001180053427456;9.944494589417927e-05
138;8910.106686485564;0.00011223210172295171;0.00010100707043416243
139;8910.106686485564;0.00011223210172295171;0.00010069865088481744
140;8910.106686485564;0.00011223210172295171;0.00010169009413031251
141;8910.106686485564;0.00011223210172295171;0.00010221965308034599
142;8910.106686485564;0.00011223210172295171;0.00010268792887593281
143;8910.106686485564;0.00011223210172295171;0.00010243558163388746
144;8910.106686485564;0.00011223210172295171;0.00010336168726504152
145;8910.106686485564;0.00011223210172295171;0.00010246724576895158
146;8910.106686485564;0.00011223210172295171;0.00010180507242565973
147;8910.106686485564;0.00011223210172295171;0.00010298032374441797
148;8910.106686485564;0.00011223210172295171;0.00010314957662993895
149;8779.571613299568;0.00011390077375588223;0.00010389760902556771
150;8779.571613299568;0.00011390077375588223;0.0001045142180889163
151;8779.571613299568;0.00011390077375588223;0.00010568200774572397
152;8779.571613299568;0.00011390077375588223;0.00010544885691774915
153;8779.571613299568;0.00011390077375588223;0.0001049856363594679
154;8779.571613299568;0.00011390077375588223;0.0001058430055235507
155;8779.571613299568;0.00011390077375588223;0.00010647201534122419
156;8779.571613299568;0.00011390077375588223;0.00010642915083706551
157;8779.571613299568;0.00011390077375588223;0.00010685766381407322
158;8779.571613299568;0.00011390077375588223;0.00010655534273082819
159;8779.571613299568;0.00011390077375588223;0.00010747230890659574
160;8779.571613299568;0.00011390077375588223;0.00010674187421721121
161;8779.571613299568;0.00011390077375588223;0.00010777279530287809
162;8779.571613299568;0.00011390077375588223;0.00010777440574299796
163;8759.331451812932;0.00011416396393962561;0.00010790797562462672
164;8759.331451812932;0.00011416396393962561;0.00010779483167626146
165;8759.331451812932;0.00011416396393962561;0.0001069229191697256
166;8759.331451812932;0.00011416396393962561;0.00010724930615162745
167;8759.331451812932;0.00011416396393962561;0.000108240088488979
168;8759.331451812932;0.00011416396393962561;0.00010742812604470857
169;8759.331451812932;0.00011416396393962561;0.00010789955429040195
170;8759.331451812932;0.00011416396393962561;0.00010839411195485269
171;8759.331451812932;0.00011416396393962561;0.00010830599661708432
172;8759.331451812932;0.00011416396393962561;0.00010854176881212237
173;8759.331451812932;0.00011416396393962561;0.00010699350167656158
174;8759.331451812932;0.00011416396393962561;0.00010805594237681987
175;8759.331451812932;0.00011416396393962561;0.00010825610376414777
176;8759.331451812932;0.00011416396393962561;0.00010780463705527173
177;8759.331451812932;0.00011416396393962561;0.00010756289231428409
178;8759.331451812932;0.00011416396393962561;0.00010701333060700474
179;8759.331451812932;0.00011416396393962561;0.00010798113850027334
180;8759.331451812932;0.00011416396393962561;0.00010802742683309587
181;8759.331451812932;0.00011416396393962561;0.00010822490360253267
182;8759.331451812932;0.00011416396393962561;0.00010827061762406958
183;8759.331451812932;0.00011416396393962561;0.00010902249937772644
184;8759.331451812932;0.00011416396393962561;0.00010787539713185684
185;8759.331451812932;0.00011416396393962561;0.00010755549438211945
186;8759.331451812932;0.00011416396393962561;0.00010733345079881711
187;8759.331451812932;0.00011416396393962561;0.0001071595402479889
188;8759.331451812932;0.00011416396393962561;0.0001075785662083093
189;8759.331451812932;0.00011416396393962561;0.00010858928453016065
190;8759.331451812932;0.00011416396393962561;0.00010874448804606943
191;8743.654663783756;0.0001143686522915873;0.0001077660302518398
192;8743.654663783756;0.0001143686522915873;0.00010818903480846781
193;8743.654663783756;0.0001143686522915873;0.00010789739705542273
194;8743.654663783756;0.0001143686522915873;0.00010827091574147076
195;8743.654663783756;0.0001143686522915873;0.00010831710233366369
